City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Matveyev Kurgan,47.5645,38.8695,51.66,53,40,16.58,RU,2021-04-06 11:43:21
375,Batsfjord,70.6345,29.7185,35.6,75,40,26.46,NO,2021-04-06 11:43:21
376,Port Hardy,50.6996,-127.4199,41.0,93,90,2.3,CA,2021-04-06 11:43:22
377,Marsaxlokk,35.8419,14.5431,62.6,67,20,20.71,MT,2021-04-06 11:43:22
378,Ellensburg,46.9965,-120.5479,42.8,39,1,10.36,US,2021-04-06 11:40:28
379,Ajdabiya,30.7554,20.2263,69.82,53,41,21.14,LY,2021-04-06 11:39:06
380,Santa Lucia,27.9117,-15.5407,68.0,68,40,10.36,ES,2021-04-06 11:43:23
381,Lima,-12.0432,-77.0282,70.0,88,0,4.61,PE,2021-04-06 11:38:23
382,Sitka,57.0531,-135.33,35.6,80,90,6.91,US,2021-04-06 11:43:23
383,Te Anau,-45.4167,167.7167,48.04,92,98,0.83,NZ,2021-04-06 11:43:23
384,Walvis Bay,-22.9575,14.5053,78.8,44,12,12.66,NA,2021-04-06 11:43:24
385,Kara-Tyube,44.6336,45.4369,59.61,32,43,12.88,RU,2021-04-06 11:43:24
386,Barcelona,41.3888,2.159,60.8,72,75,8.05,ES,2021-04-06 11:43:25
387,Dayong,25.0209,118.2898,68.0,64,0,8.95,CN,2021-04-06 11:43:25
388,Bucerias,20.75,-105.3333,68.0,88,1,3.44,MX,2021-04-06 11:40:44
389,Amahai,-3.3333,128.9167,80.47,79,67,3.87,ID,2021-04-06 11:43:26
390,Iralaya,15.0,-83.2333,76.06,85,99,8.97,HN,2021-04-06 11:43:26
391,Sa Kaeo,13.75,102.3333,81.84,70,100,15.26,TH,2021-04-06 11:43:26
392,Chuncheng,22.1731,111.7886,74.75,79,59,5.41,CN,2021-04-06 11:43:26
393,Todos Santos,23.45,-110.2167,70.0,30,0,2.3,MX,2021-04-06 11:43:27
394,Sarkand,45.41,79.9186,50.67,65,69,5.91,KZ,2021-04-06 11:43:27
395,Vila Velha,-20.3297,-40.2925,75.2,73,20,2.3,BR,2021-04-06 11:43:28
396,Bhopal,23.2667,77.4,104.0,16,20,9.22,IN,2021-04-06 11:42:18
397,Road Town,18.4167,-64.6167,77.0,85,95,8.01,VG,2021-04-06 11:43:28
398,Saint-Joseph,-21.3667,55.6167,86.0,66,75,10.36,RE,2021-04-06 11:43:29
399,Vao,-22.6667,167.4833,75.99,71,89,23.8,NC,2021-04-06 11:43:29
